#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1526491858394.png,317303,{},1,0,"{""name"":""polygon"",""all_points_x"":[21,50,65,86,131,165,181,177,171,153,111,59,23],""all_points_y"":[381,430,494,515,521,518,495,455,406,378,367,369,375]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""no""}"
1526491859397.png,328886,{},3,0,"{""name"":""polygon"",""all_points_x"":[508,514,535,595,633,657,665,667,663],""all_points_y"":[3,62,108,120,95,65,33,8,2]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""no""}"
1526491859397.png,328886,{},3,1,"{""name"":""polygon"",""all_points_x"":[270,268,253,239,208,203,184,167,159,149,144,142,134,121,270],""all_points_y"":[0,32,53,69,86,93,100,98,95,76,56,42,31,5,0]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""yes""}"
1526491859397.png,328886,{},3,2,"{""name"":""polygon"",""all_points_x"":[0,17,29,47,60,67,82,97,109,125,128,138,148,165,167,170,175,172,173,1,0],""all_points_y"":[56,77,108,129,147,159,164,154,146,134,125,115,103,93,66,33,15,5,0,0,56]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""yes""}"
1526491860397.png,331263,{},4,0,"{""name"":""polygon"",""all_points_x"":[159,172,194,224,255,281,293,303,301,299,315,333,337],""all_points_y"":[1,15,46,66,74,68,49,30,10,1,23,12,3]}","{""crowd"":""no"",""blurry"":""no"",""crystal form"":""alpha""}"
1526491860397.png,331263,{},4,1,"{""name"":""polygon"",""all_points_x"":[245,275,297,316,336,330,323,294,245],""all_points_y"":[329,313,312,306,327,353,377,383,329]}","{""blurry"":""no"",""crystal form"":""alpha"",""crowd"":""no""}"
1526491860397.png,331263,{},4,2,"{""name"":""polygon"",""all_points_x"":[396,399,417,441,457,458,445,424,404,398,396],""all_points_y"":[188,152,138,138,149,177,191,197,194,182,188]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""yes""}"
1526491860397.png,331263,{},4,3,"{""name"":""polygon"",""all_points_x"":[404,414,433,448,466,485,497,511,520,529,528,524,523,512,444,431,424,417,408,400,394,386,384,386,387,395,404],""all_points_y"":[203,177,171,174,194,210,219,237,240,255,260,264,270,278,321,320,318,314,310,308,303,294,282,268,261,215,203]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""yes""}"
1526491861396.png,324904,{},5,0,"{""name"":""polygon"",""all_points_x"":[101,59,43,59,79,105,127,139,130,115,106,122,121],""all_points_y"":[457,435,408,374,345,328,339,365,393,419,427,447,457]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""no""}"
1526491861396.png,324904,{},5,1,"{""name"":""polygon"",""all_points_x"":[1,34,79,111,117,103,57,13,3,1],""all_points_y"":[281,312,299,263,206,169,145,155,161,163]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""no""}"
1526491861396.png,324904,{},5,2,"{""name"":""polygon"",""all_points_x"":[33,33,66,96,143,171,173,172],""all_points_y"":[4,57,93,101,81,51,18,3]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""no""}"
