#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1526492375692.png,338712,"{}",2,0,"{""name"":""polygon"",""all_points_x"":[147,162,183,203,225,243,256,266,269,256,247,223,211,154,149,147],""all_points_y"":[489,523,543,565,579,576,551,534,500,455,442,425,420,438,462,489]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""no""}"
1526492375692.png,338712,"{}",2,1,"{""name"":""polygon"",""all_points_x"":[409,411,440,501,523,562,613,615,615,601,597,557,536,505,407,409],""all_points_y"":[292,259,241,208,215,241,284,317,329,377,389,413,398,383,297,292]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""no""}"
1526492376694.png,353216,"{}",2,0,"{""name"":""polygon"",""all_points_x"":[560,599,687,723,743,753,767,731,555,565,560],""all_points_y"":[588,494,419,399,420,449,527,597,595,575,588]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""no""}"
1526492376694.png,353216,"{}",2,1,"{""name"":""polygon"",""all_points_x"":[690,675,709,768,792,795,798,692,690],""all_points_y"":[6,27,65,90,91,88,1,1,6]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""no""}"
1526492377693.png,349107,"{}",3,0,"{""name"":""polygon"",""all_points_x"":[635,651,688,707,718,707,695,683,671,659,639,632,635],""all_points_y"":[449,461,461,427,395,379,373,368,374,385,419,437,449]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492377693.png,349107,"{}",3,1,"{""name"":""polygon"",""all_points_x"":[1,79,151,194,183,165,134,98,59,32,5,0,1],""all_points_y"":[543,561,517,469,429,405,397,406,420,439,471,485,543]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""no""}"
1526492377693.png,349107,"{}",3,2,"{""name"":""polygon"",""all_points_x"":[197,233,259,296,322,321,356,363,366,197],""all_points_y"":[6,87,113,74,46,24,36,15,1,6]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""no""}"
1526492378693.png,337939,"{}",0,0,"{}","{}"
1526492379720.png,305165,"{}",2,0,"{""name"":""polygon"",""all_points_x"":[239,271,289,299,285,259,244,237,239],""all_points_y"":[29,29,39,57,73,77,68,49,29]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492379720.png,305165,"{}",2,1,"{""name"":""polygon"",""all_points_x"":[533,543,556,573,585,593,621,623,625,621,608,594,583,581,575,566,549,539,527,529,522,524,537,533],""all_points_y"":[443,410,375,373,379,397,450,473,487,498,516,522,535,537,546,556,557,554,543,528,498,457,438,443]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""no""}"
1526492380694.png,346917,"{}",4,0,"{""name"":""polygon"",""all_points_x"":[369,365,380,390,397,414,435,444,446,454,451,440,427,413,401,387,374,369],""all_points_y"":[382,404,417,418,424,431,430,423,421,411,392,373,369,368,364,367,374,382]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""yes""}"
1526492380694.png,346917,"{}",4,1,"{""name"":""polygon"",""all_points_x"":[381,419,437,485,383,381],""all_points_y"":[326,381,399,397,331,326]}","{""blurry"":""no"",""crowd"":""yes"",""crystal form"":""beta""}"
1526492380694.png,346917,"{}",4,2,"{""name"":""polygon"",""all_points_x"":[402,433,441,453,497,495,483,426,421,416,377,405,402],""all_points_y"":[439,476,474,470,425,414,409,366,368,375,411,445,439]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""yes""}"
1526492380694.png,346917,"{}",4,3,"{""name"":""polygon"",""all_points_x"":[554,558,618,658,684,682,683,669,660,641,618,554],""all_points_y"":[196,267,285,264,241,206,183,167,159,154,155,196]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""no""}"
1526492381695.png,339954,"{}",2,0,"{""name"":""polygon"",""all_points_x"":[611,623,657,684,683,671,647,635,623,611],""all_points_y"":[331,304,302,337,363,373,373,370,363,331]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""yes""}"
1526492381695.png,339954,"{}",2,1,"{""name"":""polygon"",""all_points_x"":[659,689,701,695,684,667,649,645,653,659],""all_points_y"":[289,294,320,337,333,329,321,306,289,289]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""yes""}"
1526492382699.png,347506,"{}",2,0,"{""name"":""polygon"",""all_points_x"":[578,591,624,643,650,647,578],""all_points_y"":[3,31,35,29,11,0,3]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492382699.png,347506,"{}",2,1,"{""name"":""polygon"",""all_points_x"":[284,287,309,327,343,362,379,379,366,351,338,317,297,289,280,280,278,285,284],""all_points_y"":[521,509,509,519,532,546,567,579,585,587,587,587,589,579,566,544,527,516,521]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492383697.png,348046,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[266,300,332,341,395,381,350,313,288,267,266],""all_points_y"":[291,131,113,121,226,261,285,316,327,305,291]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""no""}"
1526492384685.png,122498,"{}",3,0,"{""name"":""polygon"",""all_points_x"":[104,112,127,191,193,188,179,149,108,104],""all_points_y"":[449,365,355,377,398,471,479,479,454,449]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492384685.png,122498,"{}",3,1,"{""name"":""polygon"",""all_points_x"":[7,35,73,88,85,71,69,2,0,7],""all_points_y"":[498,488,505,537,571,589,598,598,499,498]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""no""}"
1526492384685.png,122498,"{}",3,2,"{""name"":""polygon"",""all_points_x"":[56,63,89,93,85,71,54,55,56],""all_points_y"":[261,247,254,270,279,282,269,255,261]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492385698.png,350893,"{}",2,0,"{""name"":""polygon"",""all_points_x"":[322,331,349,381,387,396,431,437,427,414,391,367,342,326,322],""all_points_y"":[373,359,345,328,329,345,414,426,437,437,429,417,407,396,373]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492385698.png,350893,"{}",2,1,"{""name"":""polygon"",""all_points_x"":[523,547,555,561,547,528,515,500,485,468,448,434,429,427,523],""all_points_y"":[4,33,54,78,95,97,94,88,83,54,35,17,5,2,4]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""no""}"
1526492386701.png,383520,"{}",9,0,"{""name"":""polygon"",""all_points_x"":[521,529,551,600,642,723,743,769,779,793,797,798,799,785,773,755,737,719,709,702,684,667,660,550,536,517,513,521],""all_points_y"":[542,517,493,467,452,431,433,439,442,451,463,547,549,549,549,560,565,573,574,572,579,594,598,599,583,576,561,542]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492386701.png,383520,"{}",9,1,"{""name"":""polygon"",""all_points_x"":[222,225,239,256,289,323,333,349,353,345,321,309,298,246,243,231,222],""all_points_y"":[145,116,87,62,46,43,45,54,65,83,135,145,147,159,154,147,145]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492386701.png,383520,"{}",9,2,"{""name"":""polygon"",""all_points_x"":[575,683,713,740,754,763,773,778,762,745,667,642,618,607,601,597,588,588,575],""all_points_y"":[175,106,101,101,111,141,179,209,227,242,278,279,277,273,263,259,252,240,175]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492386701.png,383520,"{}",9,3,"{""name"":""polygon"",""all_points_x"":[213,249,277,273,237,215,215,216,207,221,213],""all_points_y"":[409,399,410,433,466,459,439,420,410,407,409]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492386701.png,383520,"{}",9,4,"{""name"":""polygon"",""all_points_x"":[4,59,69,81,93,99,145,147,132,85,72,66,54,4],""all_points_y"":[363,289,281,283,289,304,407,423,444,493,493,487,482,363]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""yes""}"
1526492386701.png,383520,"{}",9,5,"{""name"":""polygon"",""all_points_x"":[3,28,47,44,31,23,10,5,3,3],""all_points_y"":[323,313,318,341,352,361,367,365,367,323]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""yes""}"
1526492386701.png,383520,"{}",9,6,"{""name"":""polygon"",""all_points_x"":[0,35,45,57,59,54,41,25,8,3,2,0],""all_points_y"":[299,272,254,232,212,199,191,190,199,201,202,299]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""yes""}"
1526492386701.png,383520,"{}",9,7,"{""name"":""polygon"",""all_points_x"":[1,33,47,41,27,17,8,2,3,1],""all_points_y"":[302,279,257,243,238,238,239,241,237,302]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""yes""}"
1526492386701.png,383520,"{}",9,8,"{""name"":""polygon"",""all_points_x"":[116,124,116,130,161,190,203,205,199,116],""all_points_y"":[5,15,41,47,35,37,15,4,3,5]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492387698.png,354182,"{}",5,0,"{""name"":""polygon"",""all_points_x"":[256,321,352,383,422,438,427,409,342,323,312,300,251,256],""all_points_y"":[204,237,218,193,142,110,96,89,63,65,76,96,178,204]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492387698.png,354182,"{}",5,1,"{""name"":""polygon"",""all_points_x"":[563,584,617,642,633,617,569,563],""all_points_y"":[281,265,262,274,299,309,303,281]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492387698.png,354182,"{}",5,2,"{""name"":""polygon"",""all_points_x"":[695,684,674,675,683,695,723,738,749,749,742,721,713,710,699,687,695],""all_points_y"":[58,64,71,84,95,107,114,116,104,80,63,53,57,65,65,59,58]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492387698.png,354182,"{}",5,3,"{""name"":""polygon"",""all_points_x"":[5,23,37,51,54,35,19,4,0,5],""all_points_y"":[264,292,312,335,354,364,362,363,368,264]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492387698.png,354182,"{}",5,4,"{""name"":""polygon"",""all_points_x"":[799,772,745,734,744,751,769,799,799],""all_points_y"":[419,415,410,398,383,375,363,339,419]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492388700.png,347047,"{}",2,0,"{""name"":""polygon"",""all_points_x"":[522,510,514,548,565,580,599,647,655,666,675,663,656,653,647,633,619,587,569,545,522],""all_points_y"":[273,281,301,383,393,394,387,359,344,326,309,280,264,241,223,213,215,235,243,253,273]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492388700.png,347047,"{}",2,1,"{""name"":""polygon"",""all_points_x"":[338,357,346,279,236,213,191,173,162,157,338],""all_points_y"":[596,556,517,493,489,508,521,543,565,595,596]}","{""crystal form"":""alpha"",""blurry"":""yes"",""crowd"":""no""}"
1526492389704.png,357221,"{}",4,0,"{""name"":""polygon"",""all_points_x"":[798,780,741,737,749,784,799,798],""all_points_y"":[196,189,187,160,130,128,130,196]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492389704.png,357221,"{}",4,1,"{""name"":""polygon"",""all_points_x"":[384,397,411,436,441,434,417,406,391,386,384],""all_points_y"":[369,357,349,355,367,381,388,391,389,375,369]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492389704.png,357221,"{}",4,2,"{""name"":""polygon"",""all_points_x"":[121,127,147,165,176,160,151,144,136,121],""all_points_y"":[139,105,97,108,124,185,194,190,181,139]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492389704.png,357221,"{}",4,3,"{""name"":""polygon"",""all_points_x"":[5,57,61,54,48,3,1,5],""all_points_y"":[238,299,319,327,337,347,234,238]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492390702.png,353964,"{}",3,0,"{""name"":""polygon"",""all_points_x"":[681,714,729,745,753,759,773,765,763,751,741,734,727,715,682,674,681],""all_points_y"":[375,350,327,326,334,345,403,429,431,438,437,437,439,440,409,391,375]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492390702.png,353964,"{}",3,1,"{""name"":""polygon"",""all_points_x"":[483,482,490,495,579,587,589,591,601,599,595,588,517,506,502,483],""all_points_y"":[203,185,180,178,164,170,178,193,239,249,254,256,275,269,260,203]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492390702.png,353964,"{}",3,2,"{""name"":""polygon"",""all_points_x"":[163,165,184,189,253,265,263,163],""all_points_y"":[599,581,565,563,566,579,597,599]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492391700.png,346554,"{}",0,0,"{}","{}"
1526492392703.png,361838,"{}",4,0,"{""name"":""polygon"",""all_points_x"":[797,773,770,762,747,729,705,694,689,692,753,769,779,795,797],""all_points_y"":[177,167,158,157,170,183,207,219,236,243,273,275,266,251,177]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
1526492392703.png,361838,"{}",4,1,"{""name"":""polygon"",""all_points_x"":[480,475,489,506,512,515,517,501,494,485,476,472,474,476,481,482,477,480],""all_points_y"":[459,483,493,486,469,447,427,417,409,405,405,415,422,438,444,450,465,459]}","{""crystal form"":""alpha"",""blurry"":""no"",""crowd"":""no""}"
