#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1526493229647.png,362200,{},42,0,"{""name"": ""polygon"", ""all_points_x"": [231, 205, 168, 134, 123, 153, 186, 218, 230, 232, 232, 231], ""all_points_y"": [374, 408, 432, 414, 384, 345, 327, 335, 371, 371, 371, 374]}",{}
1526493229647.png,362200,{},42,1,"{""name"": ""polygon"", ""all_points_x"": [205, 264, 291, 312, 319, 280, 222, 183, 205], ""all_points_y"": [427, 395, 401, 433, 487, 501, 501, 446, 427]}",{}
1526493229647.png,362200,{},42,2,"{""name"": ""polygon"", ""all_points_x"": [795, 737, 688, 670, 674, 728, 770, 794, 795], ""all_points_y"": [246, 277, 288, 263, 242, 204, 193, 193, 246]}",{}
1526493229647.png,362200,{},42,3,"{""name"": ""polygon"", ""all_points_x"": [726, 742, 742, 729, 694, 659, 653, 674, 720, 726], ""all_points_y"": [117, 108, 84, 52, 28, 35, 65, 99, 119, 117]}",{}
1526493229647.png,362200,{},42,4,"{""name"": ""polygon"", ""all_points_x"": [72, 99, 109, 114, 83, 64, 31, 24, 34, 23, 30, 47, 63, 69, 72], ""all_points_y"": [188, 167, 152, 135, 121, 112, 117, 135, 149, 166, 187, 199, 196, 195, 188]}",{}
1526493229647.png,362200,{},42,5,"{""name"": ""polygon"", ""all_points_x"": [111, 102, 81, 22, 1, 4, 20, 41, 90, 111, 111], ""all_points_y"": [80, 57, 33, 41, 50, 84, 104, 113, 110, 100, 80]}",{}
1526493229647.png,362200,{},42,6,"{""name"": ""polygon"", ""all_points_x"": [349, 291, 250, 243, 247, 346, 349], ""all_points_y"": [1, 39, 52, 50, 42, 0, 1]}",{}
1526493229647.png,362200,{},42,7,"{""name"": ""polygon"", ""all_points_x"": [300, 200, 204, 214, 339, 298, 300], ""all_points_y"": [0, 53, 61, 64, 2, 0, 0]}",{}
1526493229647.png,362200,{},42,8,"{""name"": ""polygon"", ""all_points_x"": [537, 535, 535, 524, 520, 529, 537], ""all_points_y"": [177, 50, 28, 15, 117, 157, 177]}",{}
1526493229647.png,362200,{},42,9,"{""name"": ""polygon"", ""all_points_x"": [481, 483, 482, 473, 468, 457, 462, 460, 478, 481], ""all_points_y"": [163, 104, 74, 44, 73, 68, 84, 112, 162, 163]}",{}
1526493229647.png,362200,{},42,10,"{""name"": ""polygon"", ""all_points_x"": [443, 503, 448, 391, 372, 372, 384, 426, 444, 455, 450, 443], ""all_points_y"": [273, 240, 246, 275, 296, 308, 313, 291, 294, 287, 273, 273]}",{}
1526493229647.png,362200,{},42,11,"{""name"": ""polygon"", ""all_points_x"": [567, 565, 513, 502, 506, 529, 561, 567], ""all_points_y"": [236, 224, 186, 189, 201, 222, 239, 236]}",{}
1526493229647.png,362200,{},42,12,"{""name"": ""polygon"", ""all_points_x"": [479, 480, 498, 532, 564, 567, 582, 585, 567, 479], ""all_points_y"": [187, 203, 219, 244, 257, 252, 263, 255, 242, 187]}",{}
1526493229647.png,362200,{},42,13,"{""name"": ""polygon"", ""all_points_x"": [257, 285, 279, 228, 197, 186, 205, 242, 258, 268, 276, 278, 257], ""all_points_y"": [193, 182, 171, 132, 132, 137, 168, 195, 198, 194, 189, 185, 193]}",{}
1526493229647.png,362200,{},42,14,"{""name"": ""polygon"", ""all_points_x"": [181, 232, 238, 233, 212, 213, 184, 159, 139, 123, 136, 157, 181], ""all_points_y"": [231, 228, 219, 215, 212, 196, 211, 212, 211, 215, 222, 228, 231]}",{}
1526493229647.png,362200,{},42,15,"{""name"": ""polygon"", ""all_points_x"": [424, 474, 533, 529, 487, 444, 423, 424], ""all_points_y"": [378, 396, 406, 432, 422, 402, 383, 378]}",{}
1526493229647.png,362200,{},42,16,"{""name"": ""polygon"", ""all_points_x"": [594, 575, 554, 554, 585, 596, 594], ""all_points_y"": [320, 340, 340, 332, 311, 319, 320]}",{}
1526493229647.png,362200,{},42,17,"{""name"": ""polygon"", ""all_points_x"": [558, 568, 582, 582, 562, 555, 555, 558], ""all_points_y"": [359, 341, 293, 264, 307, 327, 359, 359]}",{}
1526493229647.png,362200,{},42,18,"{""name"": ""polygon"", ""all_points_x"": [314, 285, 275, 293, 310, 319, 326, 318, 314], ""all_points_y"": [116, 120, 92, 98, 100, 101, 113, 116, 116]}",{}
1526493229647.png,362200,{},42,19,"{""name"": ""polygon"", ""all_points_x"": [110, 145, 143, 110, 109, 96, 101, 106, 110], ""all_points_y"": [44, 7, -1, 0, 14, 38, 46, 52, 44]}",{}
1526493229647.png,362200,{},42,20,"{""name"": ""polygon"", ""all_points_x"": [40, 77, 111, 179, 183, 134, 113, 71, 41, 29, 40], ""all_points_y"": [335, 314, 294, 257, 262, 302, 322, 341, 351, 349, 335]}",{}
1526493229647.png,362200,{},42,21,"{""name"": ""polygon"", ""all_points_x"": [2, 51, 99, 87, 43, 0, 3, 18, 41, 2], ""all_points_y"": [399, 371, 349, 334, 360, 400, 388, 377, 360, 399]}",{}
1526493229647.png,362200,{},42,22,"{""name"": ""polygon"", ""all_points_x"": [133, 81, 68, 82, 117, 147, 156, 167, 131, 133], ""all_points_y"": [416, 429, 402, 375, 356, 347, 373, 410, 418, 416]}",{}
