#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1526492397706.png,320725,{},20,0,"{""name"": ""polygon"", ""all_points_x"": [75.0, 43.0, 6.0, 0.1, 0.1, 24.0, 44.0, 95.0, 100.9, 104.9, 92.0, 75.0], ""all_points_y"": [402.9, 399.9, 387.9, 381.0, 344.0, 328.1, 328.1, 354.1, 359.0, 381.0, 396.9, 402.9]}","{""crystal form"": ""alpha""}"
1526492397706.png,320725,{},20,1,"{""name"": ""polygon"", ""all_points_x"": [0.0, 0.1, 4.0, 16.9, 34.9, 34.9, 26.9, 21.9, 21.9, 32.9, 33.0, 19.0, 3.1, 0.0], ""all_points_y"": [435.1, 391.0, 389.1, 401.0, 437.0, 448.0, 452.0, 467.0, 475.0, 484.0, 490.9, 487.9, 475.0, 440.9]}","{""crystal form"": ""alpha""}"
1526492397706.png,320725,{},20,2,"{""name"": ""polygon"", ""all_points_x"": [575.0, 560.1, 553.1, 565.1, 595.0, 610.0, 621.9, 619.9, 610.9, 597.9, 581.9, 575.0], ""all_points_y"": [162.9, 155.0, 134.0, 78.0, 52.1, 48.1, 82.0, 102.0, 121.0, 133.0, 160.0, 162.9]}","{""crystal form"": ""alpha""}"
1526492397706.png,320725,{},20,3,"{""name"": ""polygon"", ""all_points_x"": [430.0, 418.1, 416.1, 454.1, 459.1, 470.0, 472.9, 480.0, 483.9, 481.9, 462.9, 430.0], ""all_points_y"": [545.9, 533.0, 522.0, 458.0, 442.0, 436.1, 449.0, 448.1, 453.0, 463.0, 486.0, 545.9]}","{""crystal form"": ""beta""}"
1526492397706.png,320725,{},20,4,"{""name"": ""polygon"", ""all_points_x"": [224.0, 220.1, 223.1, 270.1, 276.0, 277.9, 272.9, 224.0], ""all_points_y"": [203.9, 200.0, 187.0, 114.0, 111.1, 120.0, 131.0, 203.9]}","{""crystal form"": ""beta""}"
1526492397706.png,320725,{},20,5,"{""name"": ""polygon"", ""all_points_x"": [514.0, 504.1, 507.1, 533.0, 584.0, 606.0, 621.0, 626.9, 622.0, 606.0, 573.9, 572.0, 537.0, 514.0], ""all_points_y"": [271.9, 269.0, 259.0, 244.1, 195.1, 183.1, 182.1, 186.0, 194.9, 202.9, 235.0, 251.9, 267.9, 271.9]}","{""crystal form"": ""beta""}"
1526492397706.png,320725,{},20,6,"{""name"": ""polygon"", ""all_points_x"": [620.0, 619.0, 622.9, 620.0], ""all_points_y"": [236.9, 233.1, 235.0, 236.9]}","{""crystal form"": ""beta""}"
1526492397706.png,320725,{},20,7,"{""name"": ""polygon"", ""all_points_x"": [67.0, 59.0, 58.1, 67.0, 67.0], ""all_points_y"": [400.9, 399.9, 395.0, 392.1, 400.9]}","{""crystal form"": ""beta""}"
1526492397706.png,320725,{},20,8,"{""name"": ""polygon"", ""all_points_x"": [4.0, 4.0, 15.9, 4.0], ""all_points_y"": [413.9, 394.1, 408.0, 413.9]}","{""crystal form"": ""beta""}"
1526492397706.png,320725,{},20,9,"{""name"": ""polygon"", ""all_points_x"": [67.0, 44.0, 25.1, 33.0, 67.0, 67.0], ""all_points_y"": [432.9, 425.9, 406.0, 405.1, 418.1, 432.9]}","{""crystal form"": ""beta""}"
1526492397706.png,320725,{},20,10,"{""name"": ""polygon"", ""all_points_x"": [19.0, 18.0, 19.0], ""all_points_y"": [419.9, 416.1, 419.9]}","{""crystal form"": ""beta""}"
1526492397706.png,320725,{},20,11,"{""name"": ""polygon"", ""all_points_x"": [619.0, 566.0, 562.1, 601.0, 623.0, 629.9, 619.0], ""all_points_y"": [36.9, 13.9, 5.0, 12.1, 11.1, 20.0, 36.9]}","{""crystal form"": ""beta""}"
1526492397706.png,320725,{},20,12,"{""name"": ""polygon"", ""all_points_x"": [127.0, 114.0, 112.1, 125.1, 131.1, 169.1, 179.0, 179.9, 160.9, 144.9, 138.9, 127.0], ""all_points_y"": [414.9, 414.9, 411.0, 385.0, 355.0, 287.0, 284.1, 301.0, 343.0, 364.0, 395.0, 414.9]}","{""crystal form"": ""beta""}"
1526492397706.png,320725,{},20,13,"{""name"": ""polygon"", ""all_points_x"": [529.0, 516.0, 514.1, 548.0, 564.0, 567.0, 576.0, 623.0, 629.9, 629.0, 607.0, 529.0], ""all_points_y"": [267.9, 267.9, 254.0, 232.1, 236.1, 243.1, 243.1, 228.1, 230.0, 235.9, 245.9, 267.9]}","{""crystal form"": ""beta""}"
1526492397706.png,320725,{},20,14,"{""name"": ""polygon"", ""all_points_x"": [97.0, 97.0, 102.9, 97.0], ""all_points_y"": [387.9, 362.1, 372.0, 387.9]}","{""crystal form"": ""beta""}"
1526492397706.png,320725,{},20,15,"{""name"": ""polygon"", ""all_points_x"": [88.0, 72.1, 75.1, 130.1, 139.0, 141.9, 136.9, 112.9, 88.0], ""all_points_y"": [477.9, 476.0, 459.0, 380.0, 377.1, 388.0, 402.0, 448.0, 477.9]}","{""crystal form"": ""beta""}"
1526492397706.png,320725,{},20,16,"{""name"": ""polygon"", ""all_points_x"": [193.9, 199.9, 201.9, 215.9, 214.0, 206.1, 193.1, 184.1, 184.1, 190.1], ""all_points_y"": [0.0, 6.0, 33.0, 73.0, 85.9, 82.0, 46.0, 10.0, 4.0, 0.0]}","{""crystal form"": ""beta""}"
1526492397706.png,320725,{},20,17,"{""name"": ""polygon"", ""all_points_x"": [577.0, 569.0, 557.1, 554.1, 570.1, 592.0, 611.0, 619.9, 577.0], ""all_points_y"": [160.9, 160.9, 145.0, 121.0, 76.0, 55.1, 50.1, 95.0, 160.9]}","{""crystal form"": ""beta""}"
1526492397706.png,320725,{},20,18,"{""name"": ""polygon"", ""all_points_x"": [88.0, 77.1, 77.1, 106.1, 137.1, 154.1, 164.1, 179.0, 181.9, 141.9, 106.9, 88.0], ""all_points_y"": [482.9, 481.0, 458.0, 415.0, 343.0, 320.0, 296.0, 293.1, 297.0, 376.0, 460.0, 482.9]}","{""crystal form"": ""beta""}"
1526492397706.png,320725,{},20,19,"{""name"": ""polygon"", ""all_points_x"": [286.0, 277.1, 275.1, 258.0, 272.9, 282.9, 294.9, 293.9, 286.0], ""all_points_y"": [263.9, 261.0, 241.0, 200.1, 202.0, 232.0, 248.0, 257.0, 263.9]}","{""crystal form"": ""beta""}"
1526492399709.png,351184,{},21,0,"{""name"": ""polygon"", ""all_points_x"": [579.0, 564.0, 550.0, 539.0, 538.1, 558.0, 576.0, 581.9, 579.0], ""all_points_y"": [158.9, 156.9, 147.9, 149.9, 141.0, 140.1, 146.1, 152.0, 158.9]}","{""crystal form"": ""alpha""}"
1526492399709.png,351184,{},21,1,"{""name"": ""polygon"", ""all_points_x"": [682.0, 673.1, 675.0, 701.0, 724.9, 724.9, 716.0, 682.0], ""all_points_y"": [149.9, 149.0, 137.1, 120.1, 116.0, 125.0, 133.9, 149.9]}","{""crystal form"": ""beta""}"
1526492399709.png,351184,{},21,2,"{""name"": ""polygon"", ""all_points_x"": [436.0, 426.1, 431.1, 469.0, 491.0, 491.9, 436.0], ""all_points_y"": [473.9, 473.0, 462.0, 420.1, 408.1, 421.0, 473.9]}","{""crystal form"": ""beta""}"
1526492399709.png,351184,{},21,3,"{""name"": ""polygon"", ""all_points_x"": [528.0, 508.0, 504.1, 548.0, 574.9, 574.9, 565.0, 528.0], ""all_points_y"": [592.9, 592.9, 587.0, 570.1, 569.0, 575.0, 583.9, 592.9]}","{""crystal form"": ""beta""}"
1526492399709.png,351184,{},21,4,"{""name"": ""polygon"", ""all_points_x"": [529.0, 523.0, 516.1, 526.0, 568.0, 579.0, 588.9, 588.0, 547.0, 529.0], ""all_points_y"": [430.9, 430.9, 421.0, 406.1, 377.1, 377.1, 384.0, 397.9, 416.9, 430.9]}","{""crystal form"": ""beta""}"
1526492399709.png,351184,{},21,5,"{""name"": ""polygon"", ""all_points_x"": [675.0, 666.0, 665.1, 707.0, 725.9, 725.0, 716.0, 675.0], ""all_points_y"": [61.9, 61.9, 56.0, 42.1, 42.0, 46.9, 50.9, 61.9]}","{""crystal form"": ""beta""}"
1526492399709.png,351184,{},21,6,"{""name"": ""polygon"", ""all_points_x"": [581.0, 566.0, 549.0, 538.0, 537.1, 556.0, 576.0, 582.9, 581.0], ""all_points_y"": [157.9, 157.9, 146.9, 149.9, 141.0, 140.1, 147.1, 154.0, 157.9]}","{""crystal form"": ""beta""}"
1526492399709.png,351184,{},21,7,"{""name"": ""polygon"", ""all_points_x"": [251.0, 228.0, 197.0, 176.1, 165.1, 147.1, 156.0, 182.0, 194.0, 241.9, 252.9, 251.0], ""all_points_y"": [586.9, 570.9, 569.9, 548.0, 521.0, 507.0, 501.1, 501.1, 508.1, 555.0, 578.0, 586.9]}","{""crystal form"": ""beta""}"
1526492399709.png,351184,{},21,8,"{""name"": ""polygon"", ""all_points_x"": [424.0, 415.1, 481.0, 490.0, 497.9, 494.9, 424.0], ""all_points_y"": [585.9, 582.0, 510.1, 509.1, 517.0, 523.0, 585.9]}","{""crystal form"": ""beta""}"
1526492399709.png,351184,{},21,9,"{""name"": ""polygon"", ""all_points_x"": [554.0, 545.1, 550.1, 574.1, 585.0, 605.0, 605.9, 554.0], ""all_points_y"": [77.9, 68.0, 56.0, 30.0, 8.1, 3.1, 16.0, 77.9]}","{""crystal form"": ""beta""}"
1526492399709.png,351184,{},21,10,"{""name"": ""polygon"", ""all_points_x"": [694.0, 647.0, 639.1, 646.0, 662.0, 699.0, 703.9, 703.9, 694.0], ""all_points_y"": [342.9, 330.9, 319.0, 310.1, 310.1, 322.1, 325.0, 336.0, 342.9]}","{""crystal form"": ""beta""}"
1526492399709.png,351184,{},21,11,"{""name"": ""polygon"", ""all_points_x"": [328.0, 321.0, 318.1, 312.1, 313.0, 326.9, 328.0], ""all_points_y"": [267.9, 267.9, 260.0, 219.0, 181.1, 182.0, 267.9]}","{""crystal form"": ""beta""}"
1526492399709.png,351184,{},21,12,"{""name"": ""polygon"", ""all_points_x"": [672.0, 611.0, 595.0, 594.1, 612.0, 672.0, 679.9, 672.0], ""all_points_y"": [254.9, 242.9, 236.9, 229.0, 226.1, 240.1, 244.0, 254.9]}","{""crystal form"": ""beta""}"
1526492399709.png,351184,{},21,13,"{""name"": ""polygon"", ""all_points_x"": [716.0, 683.0, 681.1, 699.0, 773.9, 755.9, 755.9, 763.9, 761.0, 731.0, 716.0], ""all_points_y"": [188.9, 188.9, 170.0, 159.1, 158.0, 168.0, 174.0, 181.0, 186.9, 184.9, 188.9]}","{""crystal form"": ""beta""}"
1526492399709.png,351184,{},21,14,"{""name"": ""polygon"", ""all_points_x"": [251.0, 239.0, 197.0, 186.1, 209.0, 233.0, 248.0, 253.9, 251.0], ""all_points_y"": [390.9, 389.9, 371.9, 363.0, 363.1, 378.1, 377.1, 382.0, 390.9]}","{""crystal form"": ""beta""}"
1526492399709.png,351184,{},21,15,"{""name"": ""polygon"", ""all_points_x"": [665.0, 586.0, 571.0, 565.1, 592.0, 658.0, 669.9, 665.0], ""all_points_y"": [565.9, 553.9, 548.9, 539.0, 539.1, 551.1, 559.0, 565.9]}","{""crystal form"": ""beta""}"
1526492399709.png,351184,{},21,16,"{""name"": ""polygon"", ""all_points_x"": [468.0, 462.1, 462.1, 481.0, 520.0, 535.0, 543.0, 548.9, 544.0, 468.0], ""all_points_y"": [144.9, 143.0, 135.0, 123.1, 113.1, 104.1, 105.1, 114.0, 122.9, 144.9]}","{""crystal form"": ""beta""}"
1526492399709.png,351184,{},21,17,"{""name"": ""polygon"", ""all_points_x"": [466.0, 456.1, 442.1, 434.1, 437.0, 449.9, 466.9, 466.0], ""all_points_y"": [173.9, 173.0, 140.0, 106.0, 89.1, 93.0, 159.0, 173.9]}","{""crystal form"": ""beta""}"
1526492399709.png,351184,{},21,18,"{""name"": ""polygon"", ""all_points_x"": [625.0, 621.1, 635.0, 642.0, 625.0], ""all_points_y"": [527.9, 520.0, 501.1, 500.1, 527.9]}","{""crystal form"": ""beta""}"
1526492399709.png,351184,{},21,19,"{""name"": ""polygon"", ""all_points_x"": [246.0, 201.0, 200.1, 239.0, 280.0, 303.9, 301.0, 285.0, 246.0], ""all_points_y"": [245.9, 245.9, 235.0, 233.1, 220.1, 222.0, 227.9, 229.9, 245.9]}","{""crystal form"": ""beta""}"
1526492399709.png,351184,{},21,20,"{""name"": ""polygon"", ""all_points_x"": [231.0, 191.0, 192.0, 181.1, 181.1, 238.0, 255.0, 287.9, 262.0, 260.0, 231.0], ""all_points_y"": [247.9, 247.9, 243.9, 239.0, 231.0, 233.1, 227.1, 228.0, 236.9, 242.9, 247.9]}","{""crystal form"": ""beta""}"
1526492419717.png,336479,{},19,0,"{""name"": ""polygon"", ""all_points_x"": [204.0, 197.0, 191.1, 194.0, 211.0, 237.9, 235.0, 204.0], ""all_points_y"": [113.9, 112.9, 104.0, 80.1, 74.1, 87.0, 103.9, 113.9]}","{""crystal form"": ""alpha""}"
1526492419717.png,336479,{},19,1,"{""name"": ""polygon"", ""all_points_x"": [774.0, 764.1, 727.1, 716.1, 718.0, 724.9, 745.9, 775.9, 774.0], ""all_points_y"": [263.9, 254.0, 186.0, 162.0, 155.1, 156.0, 191.0, 252.0, 263.9]}","{""crystal form"": ""beta""}"
1526492419717.png,336479,{},19,2,"{""name"": ""polygon"", ""all_points_x"": [796.0, 768.0, 736.0, 714.0, 704.1, 704.1, 709.0, 728.0, 749.0, 795.0, 796.0], ""all_points_y"": [166.9, 164.9, 147.9, 142.9, 137.0, 129.0, 131.1, 122.1, 126.1, 146.1, 166.9]}","{""crystal form"": ""beta""}"
1526492419717.png,336479,{},19,3,"{""name"": ""polygon"", ""all_points_x"": [660.0, 654.0, 650.1, 645.0, 659.9, 660.0], ""all_points_y"": [389.9, 389.9, 381.0, 267.1, 293.0, 389.9]}","{""crystal form"": ""beta""}"
1526492419717.png,336479,{},19,4,"{""name"": ""polygon"", ""all_points_x"": [207.0, 197.0, 187.1, 171.1, 157.0, 167.9, 207.0], ""all_points_y"": [439.9, 439.9, 429.0, 405.0, 369.1, 371.0, 439.9]}","{""crystal form"": ""beta""}"
1526492419717.png,336479,{},19,5,"{""name"": ""polygon"", ""all_points_x"": [150.0, 147.1, 160.0, 167.0, 169.9, 150.0], ""all_points_y"": [436.9, 411.0, 404.1, 407.1, 427.0, 436.9]}","{""crystal form"": ""beta""}"
1526492419717.png,336479,{},19,6,"{""name"": ""polygon"", ""all_points_x"": [568.0, 551.1, 549.1, 627.1, 643.0, 644.9, 630.9, 619.9, 596.9, 584.9, 568.0], ""all_points_y"": [288.9, 285.0, 260.0, 85.0, 84.1, 90.0, 124.0, 186.0, 222.0, 262.0, 288.9]}","{""crystal form"": ""beta""}"
1526492419717.png,336479,{},19,7,"{""name"": ""polygon"", ""all_points_x"": [3.0, 2.1, 20.1, 30.1, 46.0, 45.9, 32.9, 3.0], ""all_points_y"": [304.9, 289.0, 237.0, 216.0, 197.1, 217.0, 235.0, 304.9]}","{""crystal form"": ""beta""}"
1526492419717.png,336479,{},19,8,"{""name"": ""polygon"", ""all_points_x"": [409.0, 401.1, 398.1, 411.0, 472.9, 471.9, 478.9, 476.0, 453.0, 436.0, 409.0], ""all_points_y"": [255.9, 252.0, 238.0, 224.1, 196.0, 203.0, 210.0, 213.9, 226.9, 244.9, 255.9]}","{""crystal form"": ""beta""}"
1526492419717.png,336479,{},19,9,"{""name"": ""polygon"", ""all_points_x"": [352.0, 347.1, 350.1, 355.0, 363.0, 360.9, 352.0], ""all_points_y"": [399.9, 399.0, 381.0, 375.1, 375.1, 396.0, 399.9]}","{""crystal form"": ""beta""}"
1526492419717.png,336479,{},19,10,"{""name"": ""polygon"", ""all_points_x"": [715.0, 709.1, 703.1, 705.0, 711.0, 714.9, 715.0], ""all_points_y"": [377.9, 377.0, 359.0, 335.1, 335.1, 343.0, 377.9]}","{""crystal form"": ""beta""}"
1526492419717.png,336479,{},19,11,"{""name"": ""polygon"", ""all_points_x"": [712.0, 694.0, 693.1, 745.0, 776.9, 770.0, 712.0], ""all_points_y"": [394.9, 394.9, 388.0, 374.1, 375.0, 380.9, 394.9]}","{""crystal form"": ""beta""}"
1526492419717.png,336479,{},19,12,"{""name"": ""polygon"", ""all_points_x"": [154.0, 141.1, 151.0, 203.9, 203.9, 192.0, 171.0, 154.0], ""all_points_y"": [237.9, 235.0, 210.1, 197.0, 205.0, 216.9, 224.9, 237.9]}","{""crystal form"": ""beta""}"
1526492419717.png,336479,{},19,13,"{""name"": ""polygon"", ""all_points_x"": [238.0, 221.0, 220.1, 243.0, 286.0, 305.9, 305.9, 299.0, 238.0], ""all_points_y"": [394.9, 391.9, 382.0, 378.1, 357.1, 358.0, 369.0, 373.9, 394.9]}","{""crystal form"": ""beta""}"
1526492419717.png,336479,{},19,14,"{""name"": ""polygon"", ""all_points_x"": [704.0, 688.1, 682.0, 693.9, 703.9, 704.0], ""all_points_y"": [156.9, 133.0, 34.1, 35.0, 98.0, 156.9]}","{""crystal form"": ""beta""}"
1526492419717.png,336479,{},19,15,"{""name"": ""polygon"", ""all_points_x"": [185.0, 171.0, 169.1, 191.0, 260.0, 273.0, 282.9, 274.9, 254.0, 185.0], ""all_points_y"": [579.9, 579.9, 576.0, 553.1, 511.1, 506.1, 508.0, 523.0, 539.9, 579.9]}","{""crystal form"": ""beta""}"
1526492419717.png,336479,{},19,16,"{""name"": ""polygon"", ""all_points_x"": [453.0, 431.0, 404.0, 373.0, 378.1, 385.0, 428.0, 453.9, 453.0], ""all_points_y"": [514.9, 512.9, 496.9, 486.9, 467.0, 463.1, 485.1, 506.0, 514.9]}","{""crystal form"": ""beta""}"
1526492419717.png,336479,{},19,17,"{""name"": ""polygon"", ""all_points_x"": [188.0, 122.0, 116.1, 118.1, 126.0, 166.0, 187.0, 188.0], ""all_points_y"": [186.9, 159.9, 155.0, 147.0, 145.1, 168.1, 174.1, 186.9]}","{""crystal form"": ""beta""}"
