#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
593.jpg,81643,"{}",5,0,"{""name"":""polygon"",""all_points_x"":[902,906,902,944,993,1112,1175,1176,1181,1173,1155,1068,1046,995,985,902],""all_points_y"":[316,350,407,491,513,495,482,466,459,445,436,289,278,300,294,316]}","{}"
593.jpg,81643,"{}",5,1,"{""name"":""polygon"",""all_points_x"":[444,550,556,566,570,592,603,607,595,589,581,561,513,462,437,427,424,429,444],""all_points_y"":[142,210,204,206,204,150,126,99,60,52,44,35,0,0,40,56,82,106,142]}","{}"
593.jpg,81643,"{}",5,2,"{""name"":""polygon"",""all_points_x"":[572,560,540,518,518,565,572],""all_points_y"":[13,32,38,20,0,0,13]}","{}"
593.jpg,81643,"{}",5,3,"{""name"":""polygon"",""all_points_x"":[678,681,695,699,702,705,704,702,658,653,609,586,570,560,678],""all_points_y"":[0,21,31,39,54,69,74,78,70,68,36,18,6,0,0]}","{}"
593.jpg,81643,"{}",5,4,"{""name"":""polygon"",""all_points_x"":[335,338,404,447,447,335],""all_points_y"":[0,15,30,3,0,0]}","{}"
668.jpg,89504,"{}",5,0,"{""name"":""polygon"",""all_points_x"":[255,260,302,379,454,255],""all_points_y"":[1,81,99,114,0,1]}","{}"
668.jpg,89504,"{}",5,1,"{""name"":""polygon"",""all_points_x"":[463,391,387,379,396,583,594,604,657,630,613,601,598,560,511,463],""all_points_y"":[1,109,117,155,211,326,303,302,191,104,70,64,54,36,1,1]}","{}"
668.jpg,89504,"{}",5,2,"{""name"":""polygon"",""all_points_x"":[572,561,514,516,553,570,572],""all_points_y"":[17,40,11,0,0,13,17]}","{}"
668.jpg,89504,"{}",5,3,"{""name"":""polygon"",""all_points_x"":[646,686,717,764,773,778,781,782,773,788,779,770,756,740,735,715,699,692,555,580,604,612,626,646],""all_points_y"":[123,155,183,190,181,172,162,139,89,40,17,12,9,4,1,4,7,10,1,19,42,60,74,123]}","{}"
668.jpg,89504,"{}",5,4,"{""name"":""polygon"",""all_points_x"":[832,990,1024,1060,1086,1186,1190,1203,1236,1268,1258,1248,1248,941,926,859,867,831,832],""all_points_y"":[279,222,235,214,226,405,421,418,431,489,505,508,517,573,565,430,371,298,279]}","{}"
803.jpg,96665,"{}",5,0,"{""name"":""polygon"",""all_points_x"":[128,149,280,301,456,128],""all_points_y"":[4,215,257,247,1,4]}","{}"
803.jpg,96665,"{}",5,1,"{""name"":""polygon"",""all_points_x"":[465,326,316,328,630,645,696,672,688,692,665,637,613,596,569,564,514,465],""all_points_y"":[1,221,259,291,482,474,367,291,254,230,188,112,69,53,36,33,1,1]}","{}"
803.jpg,96665,"{}",5,2,"{""name"":""polygon"",""all_points_x"":[899,872,874,889,895,891,881,862,856,842,832,818,794,786,780,726,694,680,667,653,636,622,613,596,581,560,548,899],""all_points_y"":[1,97,116,136,168,185,196,200,212,215,212,227,253,259,262,253,227,213,181,142,106,67,54,38,22,6,1,1]}","{}"
803.jpg,96665,"{}",5,3,"{""name"":""polygon"",""all_points_x"":[387,374,338,302,276,248,259,273,288,312,331,351,372,382,385,387],""all_points_y"":[554,604,650,666,669,642,609,566,531,498,483,484,498,511,531,554]}","{}"
803.jpg,96665,"{}",5,4,"{""name"":""polygon"",""all_points_x"":[774,824,812,884,1017,1021,1177,1189,1299,1340,1341,1334,1342,1332,1284,1277,1277,1232,1228,1231,1231,1223,1208,1191,1098,1059,994,909,860,847,814,794,780,774],""all_points_y"":[281,379,489,641,621,614,590,597,577,569,460,452,446,385,293,295,303,326,331,349,365,385,322,294,124,104,128,179,214,227,250,260,262,281]}","{}"
955.jpg,143185,"{}",2,0,"{""name"":""polygon"",""all_points_x"":[927,365,101,251,1066,1184,927],""all_points_y"":[324,324,769,1022,1022,810,324]}","{}"
955.jpg,143185,"{}",2,1,"{""name"":""polygon"",""all_points_x"":[1205,1336,1337,1265,1192,1104,1071,929,926,959,992,1028,1094,1151,1205],""all_points_y"":[192,678,737,784,802,721,665,539,438,393,334,286,251,215,192]}","{}"
972.jpg,94182,"{}",3,0,"{""name"":""polygon"",""all_points_x"":[486,458,813,1099,1122,486],""all_points_y"":[377,517,696,670,517,377]}","{}"
972.jpg,94182,"{}",3,1,"{""name"":""polygon"",""all_points_x"":[298,417,420,390,202,3,2,76,165,298],""all_points_y"":[460,942,1010,1023,1020,810,684,589,512,460]}","{}"
972.jpg,94182,"{}",3,2,"{""name"":""polygon"",""all_points_x"":[0,15,207,0,0],""all_points_y"":[584,584,1015,1020,584]}","{}"
1004.jpg,111745,"{}",13,0,"{""name"":""polygon"",""all_points_x"":[572,583,649,676,669,641,631,620,607,587,572],""all_points_y"":[170,155,138,192,196,204,198,197,183,179,170]}","{}"
1004.jpg,111745,"{}",13,1,"{""name"":""polygon"",""all_points_x"":[485,520,528,530,527,520,518,512,510,507,501,497,495,492,486,482,478,473,466,452,434,427,425,423,420,414,409,404,398,398,399,401,411,425,443,485],""all_points_y"":[107,140,155,167,178,184,190,196,200,205,209,215,218,222,225,231,233,233,234,231,228,225,224,220,214,205,194,186,176,167,157,151,140,128,121,107]}","{}"
