#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
202.jpg,64791,"{}",5,0,"{""name"":""polygon"",""all_points_x"":[493,503,514,527,530,531,528,527,506,490,493,493],""all_points_y"":[377,362,354,373,375,387,389,401,405,393,387,377]}","{}"
202.jpg,64791,"{}",5,1,"{""name"":""polygon"",""all_points_x"":[488,498,502,496,490,479,475,474,465,462,461,467,469,488],""all_points_y"":[348,344,335,325,319,321,321,318,318,320,326,331,341,348]}","{}"
202.jpg,64791,"{}",5,2,"{""name"":""polygon"",""all_points_x"":[427,431,443,453,465,462,449,446,427,417,412,411,403,399,394,392,391,392,397,403,407,412,416,427],""all_points_y"":[369,368,354,351,333,330,327,331,333,334,333,334,336,341,339,342,346,350,354,362,367,365,363,369]}","{}"
202.jpg,64791,"{}",5,3,"{""name"":""polygon"",""all_points_x"":[432,438,443,455,460,465,469,475,481,486,488,486,490,486,483,475,465,462,453,433,434,431,431,432],""all_points_y"":[418,419,423,423,422,424,428,418,403,394,386,379,370,363,358,351,349,347,346,368,375,386,400,418]}","{}"
202.jpg,64791,"{}",5,4,"{""name"":""polygon"",""all_points_x"":[525,535,555,546,533,522,510,515,516,525],""all_points_y"":[777,767,746,736,741,741,754,766,773,777]}","{}"
214.jpg,64862,"{}",5,0,"{""name"":""polygon"",""all_points_x"":[486,488,500,510,523,527,521,509,500,486],""all_points_y"":[375,363,345,339,357,368,382,384,388,375]}","{}"
214.jpg,64862,"{}",5,1,"{""name"":""polygon"",""all_points_x"":[463,483,492,495,492,474,463,463,463],""all_points_y"":[323,333,329,312,308,304,316,321,323]}","{}"
214.jpg,64862,"{}",5,2,"{""name"":""polygon"",""all_points_x"":[403,396,389,390,403,411,419,434,441,444,459,459,451,430,419,417,413,408,403],""all_points_y"":[348,338,334,326,319,317,317,315,316,312,316,319,333,351,352,346,349,346,348]}","{}"
214.jpg,64862,"{}",5,3,"{""name"":""polygon"",""all_points_x"":[433,440,445,447,455,460,464,483,481,482,483,482,480,473,464,452,439,426,430,427,425,430,427,433],""all_points_y"":[402,398,406,407,403,408,410,373,369,362,355,348,343,338,336,332,332,353,362,369,377,382,390,402]}","{}"
214.jpg,64862,"{}",5,4,"{""name"":""polygon"",""all_points_x"":[523,543,539,522,512,509,523],""all_points_y"":[757,734,728,727,739,747,757]}","{}"
229.jpg,64331,"{}",4,0,"{""name"":""polygon"",""all_points_x"":[433,440,460,471,468,473,465,467,448,426,429,426,433],""all_points_y"":[387,387,395,377,370,360,340,334,321,341,357,367,387]}","{}"
229.jpg,64331,"{}",4,1,"{""name"":""polygon"",""all_points_x"":[399,405,412,432,450,456,447,397,399],""all_points_y"":[325,327,336,336,319,307,306,313,325]}","{}"
229.jpg,64331,"{}",4,2,"{""name"":""polygon"",""all_points_x"":[457,477,483,488,488,484,475,465,460,457],""all_points_y"":[312,321,319,312,306,299,299,299,302,312]}","{}"
229.jpg,64331,"{}",4,3,"{""name"":""polygon"",""all_points_x"":[484,501,506,513,516,521,520,513,504,499,498,493,485,487,484],""all_points_y"":[353,335,339,341,348,356,360,365,367,368,370,370,365,361,353]}","{}"
